iter	Passed	Remaining
0	61	30892
1	112	28119
2	160	26558
3	209	25973
4	257	25468
5	304	25100
6	352	24824
7	400	24642
8	451	24652
9	523	25635
10	576	25611
11	624	25399
12	675	25311
13	726	25234
14	772	24982
15	819	24786
16	866	24620
17	915	24511
18	962	24369
19	1015	24382
20	1063	24263
21	1111	24147
22	1160	24067
23	1209	23985
24	1257	23896
25	1303	23768
26	1351	23677
27	1399	23587
28	1448	23524
29	1495	23428
30	1543	23357
31	1592	23296
32	1641	23226
33	1688	23137
34	1736	23064
35	1783	22993
36	1832	22933
37	1880	22864
38	1928	22791
39	1975	22714
40	2025	22674
41	2072	22595
42	2119	22528
43	2167	22460
44	2215	22396
45	2276	22463
46	2331	22473
47	2379	22410
48	2428	22356
49	2478	22305
50	2526	22241
51	2573	22171
52	2621	22112
53	2668	22042
54	2721	22021
55	2779	22037
56	2829	21991
57	2877	21930
58	2926	21873
59	2973	21807
60	3023	21759
61	3069	21681
62	3118	21629
63	3166	21570
64	3212	21500
65	3261	21447
66	3314	21421
67	3369	21403
68	3419	21358
69	3467	21302
70	3515	21243
71	3562	21174
72	3609	21110
73	3656	21051
74	3706	21000
75	3752	20935
76	3798	20868
77	3846	20808
78	3892	20743
79	3938	20678
80	3987	20625
81	4034	20567
82	4082	20512
83	4131	20462
84	4178	20402
85	4226	20348
86	4276	20300
87	4328	20266
88	4381	20233
89	4435	20207
90	4489	20177
91	4543	20148
92	4597	20121
93	4645	20066
94	4694	20012
95	4744	19967
96	4795	19922
97	4843	19868
98	4892	19817
99	4941	19767
100	5001	19757
101	5054	19722
102	5104	19673
103	5150	19613
104	5200	19564
105	5247	19503
106	5300	19466
107	5352	19427
108	5404	19385
109	5458	19352
110	5508	19303
111	5555	19246
112	5603	19190
113	5650	19132
114	5698	19078
115	5746	19022
116	5792	18960
117	5839	18905
118	5887	18850
119	5935	18796
120	5987	18754
121	6034	18697
122	6082	18643
123	6128	18583
124	6174	18524
125	6223	18472
126	6269	18414
127	6320	18370
128	6368	18315
129	6417	18264
130	6466	18215
131	6514	18161
132	6560	18104
133	6608	18050
134	6656	17998
135	6703	17942
136	6754	17897
137	6811	17867
138	6862	17823
139	6909	17767
140	6957	17713
141	7008	17669
142	7054	17612
143	7102	17558
144	7150	17507
145	7199	17455
146	7254	17421
147	7310	17387
148	7364	17347
149	7417	17306
150	7470	17267
151	7518	17213
152	7565	17158
153	7613	17105
154	7662	17054
155	7710	17002
156	7757	16947
157	7804	16892
158	7851	16838
159	7898	16785
160	7947	16733
161	7995	16681
162	8042	16627
163	8090	16575
164	8137	16520
165	8185	16470
166	8233	16418
167	8281	16365
168	8333	16322
169	8384	16275
170	8435	16230
171	8483	16178
172	8530	16125
173	8579	16074
174	8627	16021
175	8673	15967
176	8720	15914
177	8768	15862
178	8816	15810
179	8862	15756
180	8909	15702
181	8959	15655
182	9010	15608
183	9065	15569
184	9116	15523
185	9163	15469
186	9211	15418
187	9261	15370
188	9309	15319
189	9361	15273
190	9409	15222
191	9458	15172
192	9515	15135
193	9569	15094
194	9618	15044
195	9666	14992
196	9716	14944
197	9764	14893
198	9812	14842
199	9860	14790
200	9908	14739
201	9957	14690
202	10005	14637
203	10051	14583
204	10098	14532
205	10145	14480
206	10191	14425
207	10237	14372
208	10283	14318
209	10333	14270
210	10383	14222
211	10434	14175
212	10484	14126
213	10531	14074
214	10577	14021
215	10624	13968
216	10672	13918
217	10719	13866
218	10768	13816
219	10815	13764
220	10864	13715
221	10910	13662
222	10961	13615
223	11009	13564
224	11056	13513
225	11104	13463
226	11153	13413
227	11201	13363
228	11253	13317
229	11309	13275
230	11363	13232
231	11413	13185
232	11462	13134
233	11511	13086
234	11559	13035
235	11608	12985
236	11657	12936
237	11706	12886
238	11762	12844
239	11817	12802
240	11870	12757
241	11920	12709
242	11971	12661
243	12018	12609
244	12068	12561
245	12118	12512
246	12168	12463
247	12218	12415
248	12266	12365
249	12314	12314
250	12369	12271
251	12420	12222
252	12467	12172
253	12515	12121
254	12563	12071
255	12612	12021
256	12660	11970
257	12708	11920
258	12755	11869
259	12803	11818
260	12850	11767
261	12898	11716
262	12948	11668
263	12995	11617
264	13041	11565
265	13089	11514
266	13136	11464
267	13184	11413
268	13232	11363
269	13280	11313
270	13328	11263
271	13389	11223
272	13436	11172
273	13484	11122
274	13538	11077
275	13593	11032
276	13644	10984
277	13698	10938
278	13749	10891
279	13798	10842
280	13846	10791
281	13891	10739
282	13936	10686
283	13995	10644
284	14051	10599
285	14101	10551
286	14150	10502
287	14197	10451
288	14245	10400
289	14294	10351
290	14344	10302
291	14392	10252
292	14443	10203
293	14491	10154
294	14540	10104
295	14586	10053
296	14634	10002
297	14682	9952
298	14732	9904
299	14781	9854
300	14828	9803
301	14879	9755
302	14929	9706
303	14983	9660
304	15045	9619
305	15102	9574
306	15160	9530
307	15213	9483
308	15270	9439
309	15326	9393
310	15382	9348
311	15433	9299
312	15482	9249
313	15536	9203
314	15591	9156
315	15645	9109
316	15697	9061
317	15748	9013
318	15799	8964
319	15854	8918
320	15903	8868
321	15951	8818
322	16000	8768
323	16053	8720
324	16106	8672
325	16162	8626
326	16213	8577
327	16264	8528
328	16316	8480
329	16368	8432
330	16417	8382
331	16465	8332
332	16514	8281
333	16568	8234
334	16619	8185
335	16669	8136
336	16715	8085
337	16764	8035
338	16812	7984
339	16858	7933
340	16905	7882
341	16956	7833
342	17000	7781
343	17047	7730
344	17091	7678
345	17134	7626
346	17181	7575
347	17230	7525
348	17278	7475
349	17328	7426
350	17374	7375
351	17419	7324
352	17466	7273
353	17512	7222
354	17555	7170
355	17599	7118
356	17643	7067
357	17688	7016
358	17734	6965
359	17782	6915
360	17830	6865
361	17877	6815
362	17928	6766
363	17976	6716
364	18028	6667
365	18082	6620
366	18136	6572
367	18179	6520
368	18221	6468
369	18264	6417
370	18308	6365
371	18351	6314
372	18396	6263
373	18439	6212
374	18484	6161
375	18533	6112
376	18581	6062
377	18626	6011
378	18669	5960
379	18712	5909
380	18760	5859
381	18808	5809
382	18856	5760
383	18900	5709
384	18945	5658
385	18986	5607
386	19029	5556
387	19072	5505
388	19116	5454
389	19159	5403
390	19201	5352
391	19243	5301
392	19286	5250
393	19329	5200
394	19372	5149
395	19414	5098
396	19456	5047
397	19501	4997
398	19544	4947
399	19587	4896
400	19629	4846
401	19671	4795
402	19716	4745
403	19763	4696
404	19811	4647
405	19858	4597
406	19902	4547
407	19945	4497
408	19988	4447
409	20030	4397
410	20072	4346
411	20116	4296
412	20158	4246
413	20200	4196
414	20241	4145
415	20289	4096
416	20338	4048
417	20386	3999
418	20430	3949
419	20475	3900
420	20518	3850
421	20562	3800
422	20604	3750
423	20647	3701
424	20691	3651
425	20735	3601
426	20785	3553
427	20832	3504
428	20877	3455
429	20923	3406
430	20967	3356
431	21010	3307
432	21053	3257
433	21097	3208
434	21138	3158
435	21181	3109
436	21223	3059
437	21265	3010
438	21308	2960
439	21350	2911
440	21393	2862
441	21434	2812
442	21476	2763
443	21519	2714
444	21562	2665
445	21604	2615
446	21646	2566
447	21690	2517
448	21732	2468
449	21774	2419
450	21817	2370
451	21861	2321
452	21906	2272
453	21947	2223
454	21990	2174
455	22031	2125
456	22072	2076
457	22116	2028
458	22159	1979
459	22201	1930
460	22244	1881
461	22286	1833
462	22329	1784
463	22372	1735
464	22417	1687
465	22460	1638
466	22509	1590
467	22558	1542
468	22604	1494
469	22647	1445
470	22689	1397
471	22732	1348
472	22775	1300
473	22816	1251
474	22859	1203
475	22903	1154
476	22944	1106
477	22992	1058
478	23041	1010
479	23089	962
480	23133	913
481	23176	865
482	23219	817
483	23260	768
484	23302	720
485	23346	672
486	23389	624
487	23430	576
488	23472	528
489	23516	479
490	23558	431
491	23601	383
492	23644	335
493	23685	287
494	23729	239
495	23771	191
496	23815	143
497	23857	95
498	23901	47
499	23944	0
